Price,Open,High,Low,Close,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2021-05-14,6335.81982421875,6385.669921875,6301.18994140625,6385.14013671875,66935700
2021-05-17,6397.22021484375,6410.2099609375,6349.330078125,6367.35009765625,62538700
2021-05-18,6406.18017578125,6412.91015625,6343.5498046875,6353.669921875,74129300
2021-05-19,6292.0498046875,6310.490234375,6192.330078125,6262.5498046875,92757600
2021-05-20,6296.25,6343.580078125,6267.5498046875,6343.580078125,68528400
2021-05-21,6360.8798828125,6402.10009765625,6351.9501953125,6386.41015625,75862000
2021-05-24,6395.9599609375,6408.490234375,6382.7099609375,6408.490234375,34996500
2021-05-25,6416.60986328125,6422.830078125,6390.27001953125,6390.27001953125,59097400
2021-05-26,6403.9501953125,6413.72021484375,6375.14013671875,6391.60009765625,58338700
2021-05-27,6379.830078125,6467.72021484375,6379.830078125,6435.7099609375,0
2021-05-28,6453.1201171875,6493.72021484375,6448.8701171875,6484.10986328125,64752500
2021-05-31,6483.31982421875,6496.31982421875,6441.759765625,6447.169921875,41777500
2021-06-01,6470.419921875,6521.56982421875,6464.7099609375,6489.39990234375,61099200
2021-06-02,6489.89990234375,6521.81982421875,6482.10009765625,6521.52001953125,55390700
2021-06-03,6518.580078125,6522.22998046875,6473.669921875,6507.919921875,55257300
2021-06-04,6514.27001953125,6517.93017578125,6497.39013671875,6515.66015625,51796200
2021-06-07,6509.97998046875,6560.39013671875,6485.7998046875,6543.56005859375,57848800
2021-06-08,6545.68994140625,6574.2099609375,6540.7099609375,6551.009765625,65450600
2021-06-09,6561.93017578125,6570.81982421875,6533.3701171875,6563.4501953125,61452400
2021-06-10,6574.58984375,6574.58984375,6526.22998046875,6546.490234375,75224400
2021-06-11,6550.2998046875,6607.60986328125,6549.830078125,6600.66015625,68896800
2021-06-14,6625.5498046875,6650.16015625,6599.27001953125,6616.35009765625,64515600
2021-06-15,6643.419921875,6655.66015625,6634.4501953125,6639.52001953125,67447800
2021-06-16,6657.52001953125,6659.3798828125,6632.35986328125,6652.64990234375,69886300
2021-06-17,6636.7001953125,6674.3701171875,6631.6298828125,6666.259765625,70681800
2021-06-18,6657.22998046875,6687.2900390625,6560.1201171875,6569.16015625,170613700
2021-06-21,6525.02978515625,6607.990234375,6511.93017578125,6602.5400390625,78939300
2021-06-22,6609.97998046875,6622.2001953125,6583.5,6611.5,65102500
2021-06-23,6616.72998046875,6619.02001953125,6551.06982421875,6551.06982421875,70376800
2021-06-24,6576.06982421875,6639.830078125,6572.81005859375,6631.14990234375,74425300
2021-06-25,6637.68017578125,6641.89990234375,6604.85986328125,6622.8701171875,0
2021-06-28,6611.990234375,6633.72998046875,6556.8798828125,6558.02001953125,63796100
2021-06-29,6564.06982421875,6599.8798828125,6561.08984375,6567.43017578125,61812500
2021-06-30,6562.169921875,6575.83984375,6474.43017578125,6507.830078125,88781800
2021-07-01,6549.81982421875,6588.14013671875,6502.0498046875,6553.81982421875,69789700
2021-07-02,6572.0,6582.7900390625,6540.1201171875,6552.85986328125,57451500
2021-07-05,6545.97998046875,6582.8701171875,6520.3798828125,6567.5400390625,45905300
2021-07-06,6551.0,6561.509765625,6483.2001953125,6507.47998046875,72349800
2021-07-07,6529.490234375,6550.9501953125,6497.75,6527.72021484375,82080600
2021-07-08,6479.39990234375,6483.31982421875,6348.64013671875,6396.72998046875,110791300
2021-07-09,6435.2900390625,6532.56005859375,6429.669921875,6529.419921875,84934900
2021-07-12,6525.10986328125,6567.97998046875,6479.5400390625,6559.25,61855900
2021-07-13,6561.740234375,6569.3701171875,6536.4501953125,6558.47021484375,62056500
2021-07-14,6533.7998046875,6565.2001953125,6530.91015625,6558.3798828125,0
2021-07-15,6538.41015625,6554.7900390625,6471.06982421875,6493.35986328125,0
2021-07-16,6524.9501953125,6526.759765625,6418.25,6460.080078125,0
2021-07-19,6398.83984375,6403.509765625,6253.25,6295.97021484375,0
2021-07-20,6325.16015625,6386.4599609375,6304.85009765625,6346.85009765625,82160100
2021-07-21,6382.35986328125,6471.64990234375,6381.93994140625,6464.47998046875,82556600
2021-07-22,6498.31005859375,6525.2099609375,6474.0498046875,6481.58984375,58412300
2021-07-23,6518.60009765625,6574.85986328125,6510.27001953125,6568.81982421875,56119000
2021-07-26,6532.009765625,6588.08984375,6517.0498046875,6578.60009765625,0
2021-07-27,6565.18994140625,6578.0400390625,6516.56982421875,6531.919921875,60870400
2021-07-28,6547.47021484375,6609.31005859375,6530.740234375,6609.31005859375,55290600
2021-07-29,6647.080078125,6671.1201171875,6633.77001953125,6633.77001953125,94988900
2021-07-30,6608.16015625,6648.2001953125,6596.990234375,6612.759765625,97436800
2021-08-02,6657.9501953125,6690.7998046875,6639.31005859375,6675.89990234375,72373600
2021-08-03,6692.60009765625,6749.8798828125,6688.1201171875,6723.81005859375,76009700
2021-08-04,6751.14990234375,6766.60986328125,6730.60009765625,6746.22998046875,68209400
2021-08-05,6750.85986328125,6788.68994140625,6750.85986328125,6781.18994140625,62368500
2021-08-06,6772.490234375,6832.93994140625,6763.009765625,6816.9599609375,67227300
2021-08-09,6818.5400390625,6832.77001953125,6806.97998046875,6813.18017578125,47885100
2021-08-10,6817.6298828125,6833.1201171875,6811.77001953125,6820.2099609375,48652800
2021-08-11,6840.27978515625,6867.10986328125,6821.2099609375,6857.990234375,54453800
2021-08-12,6861.43994140625,6891.2900390625,6854.990234375,6882.47021484375,53045300
2021-08-13,6888.47998046875,6913.669921875,6885.64013671875,6896.0400390625,49869700
2021-08-16,6849.68017578125,6863.740234375,6817.43017578125,6838.77001953125,49720100
2021-08-17,6812.419921875,6827.490234375,6789.10986328125,6819.83984375,56251300
2021-08-18,6824.64013671875,6828.330078125,6759.740234375,6770.10986328125,55662800
2021-08-19,6665.1201171875,6671.169921875,6560.740234375,6605.89013671875,96566200
2021-08-20,6602.9501953125,6633.18994140625,6567.93017578125,6626.10986328125,66755800
2021-08-23,6699.31982421875,6699.31982421875,6657.14013671875,6683.10009765625,56007000
2021-08-24,6717.77001953125,6717.77001953125,6634.68994140625,6664.31005859375,48958200
2021-08-25,6683.18017578125,6684.2099609375,6667.25,6676.47998046875,48823600
2021-08-26,6646.3701171875,6673.93994140625,6618.68994140625,6666.02978515625,50801600
2021-08-27,6658.27001953125,6682.14990234375,6644.68017578125,6681.919921875,43959300
2021-08-30,6690.27978515625,6697.52001953125,6675.31982421875,6687.2998046875,37296500
2021-08-31,6692.85009765625,6708.14013671875,6650.89990234375,6680.18017578125,96775900
2021-09-01,6736.43994140625,6784.66015625,6730.169921875,6758.68994140625,75866000
2021-09-02,6753.18017578125,6778.330078125,6747.169921875,6763.080078125,56090600
2021-09-03,6758.3798828125,6758.3798828125,6667.39013671875,6689.990234375,63290200
2021-09-06,6704.35009765625,6756.39990234375,6700.4501953125,6743.5,41892000
2021-09-07,6731.35986328125,6749.14013671875,6721.35009765625,6726.06982421875,48024800
2021-09-08,6688.83984375,6712.0498046875,6628.97998046875,6668.89013671875,68566500
2021-09-09,6618.81982421875,6708.330078125,6605.08984375,6684.72021484375,63555000
2021-09-10,6707.330078125,6722.72998046875,6651.06005859375,6663.77001953125,70636600
2021-09-13,6688.77001953125,6722.0,6670.85009765625,6676.93017578125,61573900
2021-09-14,6672.18994140625,6677.06982421875,6613.52001953125,6652.97021484375,63626300
2021-09-15,6654.830078125,6659.27001953125,6577.02001953125,6583.6201171875,81904200
2021-09-16,6613.7099609375,6663.41015625,6612.16015625,6622.58984375,79574500
2021-09-17,6679.4501953125,6697.080078125,6551.6201171875,6570.18994140625,214025500
2021-09-20,6450.39013671875,6471.08984375,6389.6201171875,6455.81005859375,120069400
2021-09-21,6513.75,6570.1298828125,6513.75,6552.72998046875,136740400
2021-09-22,6612.10009765625,6642.31005859375,6595.93017578125,6637.0,91076800
2021-09-23,6691.080078125,6718.7998046875,6667.35986328125,6701.97998046875,82926000
2021-09-24,6675.72998046875,6678.64990234375,6625.43017578125,6638.4599609375,70090500
2021-09-27,6683.85009765625,6688.759765625,6647.080078125,6650.91015625,89455000
2021-09-28,6634.72021484375,6643.580078125,6491.419921875,6506.5,117799600
2021-09-29,6549.41015625,6590.81005859375,6538.10986328125,6560.7998046875,86064200
2021-09-30,6615.990234375,6621.75,6509.22998046875,6520.009765625,112651000
2021-10-01,6421.10009765625,6535.4599609375,6412.7001953125,6517.68994140625,94022900
2021-10-04,6484.89990234375,6540.9599609375,6452.77978515625,6477.66015625,73993600
2021-10-05,6481.72021484375,6577.2900390625,6481.72021484375,6576.27978515625,86146000
2021-10-06,6509.60009765625,6510.47021484375,6421.64013671875,6493.1201171875,98813600
2021-10-07,6563.240234375,6616.52978515625,6545.740234375,6600.18994140625,91000400
2021-10-08,6609.509765625,6617.33984375,6559.990234375,6559.990234375,70183900
2021-10-11,6546.06982421875,6574.22021484375,6522.5498046875,6570.5400390625,68968500
2021-10-12,6495.14990234375,6548.10986328125,6491.580078125,6548.10986328125,69996000
2021-10-13,6539.60986328125,6606.35986328125,6510.27001953125,6597.3798828125,75938000
2021-10-14,6651.18017578125,6692.93994140625,6618.7900390625,6685.2099609375,71368900
2021-10-15,6714.259765625,6746.81005859375,6703.259765625,6727.52001953125,84105700
2021-10-18,6697.2900390625,6697.60009765625,6642.16015625,6673.10009765625,64526000
